211, 5, 205
210, 3, 206
219, 5, 213
196, 3, 192
207, 3, 203
199, 4, 194
186, 4, 181
177, 2, 174
159, 2, 156
208, 5, 202
175, 3, 171
193, 3, 189
187, 3, 183
233, 5, 227
185, 3, 181
183, 3, 179
198, 3, 194
184, 3, 180
221, 4, 216
204, 4, 199
167, 2, 164
211, 4, 206
167, 2, 164
205, 4, 200
188, 3, 184
189, 3, 185
211, 4, 206
207, 5, 201
214, 6, 207
181, 2, 178
213, 5, 207
213, 5, 207
210, 3, 206
162, 3, 158
152, 2, 149
176, 3, 172
210, 4, 205
184, 3, 180
217, 5, 211
208, 4, 203
173, 3, 169
206, 4, 201
204, 5, 198
201, 4, 196
206, 4, 201
191, 4, 186
206, 4, 201
197, 4, 192
195, 3, 191
193, 4, 188
211, 5, 205
205, 5, 199
199, 4, 194
210, 5, 204
225, 6, 218
216, 5, 210
204, 4, 199
201, 3, 197
196, 5, 190
214, 5, 208
152, 1, 150
221, 5, 215
203, 4, 198
219, 6, 212
202, 4, 197
205, 5, 199
205, 5, 199
205, 5, 199
238, 6, 231
214, 5, 208
211, 4, 206
150, 2, 147
228, 6, 221
192, 3, 188
200, 4, 195
198, 4, 193
207, 4, 202
186, 3, 182
172, 2, 169
204, 4, 199
224, 6, 217
180, 3, 176
203, 4, 198
179, 3, 175
215, 5, 209
193, 4, 188
192, 5, 186
240, 6, 233
200, 5, 194
207, 5, 201
185, 4, 180
188, 4, 183
217, 5, 211
203, 6, 196
195, 5, 189
226, 5, 220
212, 6, 205
225, 8, 216
205, 4, 200
155, 1, 153
