200, 3, 196
259, 6, 252
238, 6, 231
263, 7, 255
230, 4, 225
214, 4, 209
274, 6, 267
211, 4, 206
228, 5, 222
248, 6, 241
236, 5, 230
243, 5, 237
230, 4, 225
192, 3, 188
230, 4, 225
243, 5, 237
219, 5, 213
220, 6, 213
250, 6, 243
231, 5, 225
180, 3, 176
248, 6, 241
222, 4, 217
250, 6, 243
219, 4, 214
177, 3, 173
263, 6, 256
197, 4, 192
253, 5, 247
244, 5, 238
238, 5, 232
215, 4, 210
239, 6, 232
207, 4, 202
218, 4, 213
229, 4, 224
201, 3, 197
226, 5, 220
234, 4, 229
196, 4, 191
244, 7, 236
219, 4, 214
252, 6, 245
245, 5, 239
199, 3, 195
244, 6, 237
223, 4, 218
242, 6, 235
215, 5, 209
213, 4, 208
228, 5, 222
199, 3, 195
195, 3, 191
240, 6, 233
230, 4, 225
260, 6, 253
216, 4, 211
258, 5, 252
250, 6, 243
215, 4, 210
239, 5, 233
246, 6, 239
226, 5, 220
207, 4, 202
226, 4, 221
246, 4, 241
180, 3, 176
245, 5, 239
191, 3, 187
210, 4, 205
233, 5, 227
202, 3, 198
212, 5, 206
262, 7, 254
230, 5, 224
215, 3, 211
238, 4, 233
239, 5, 233
234, 5, 228
253, 7, 245
262, 6, 255
249, 6, 242
241, 4, 236
228, 4, 223
234, 5, 228
209, 4, 204
255, 6, 248
226, 4, 221
227, 4, 222
246, 5, 240
202, 3, 198
240, 6, 233
198, 3, 194
219, 4, 214
236, 4, 231
214, 4, 209
220, 4, 215
225, 4, 220
206, 4, 201
233, 5, 227
