216, 5, 210
245, 7, 237
189, 3, 185
228, 6, 221
216, 5, 210
216, 4, 211
209, 4, 204
214, 5, 208
217, 4, 212
209, 4, 204
237, 5, 231
208, 5, 202
176, 3, 172
189, 2, 186
195, 5, 189
197, 3, 193
188, 3, 184
205, 4, 200
209, 3, 205
194, 3, 190
220, 4, 215
227, 5, 221
227, 6, 220
204, 5, 198
235, 6, 228
226, 4, 221
210, 4, 205
212, 4, 207
215, 4, 210
213, 6, 206
219, 4, 214
204, 4, 199
215, 4, 210
242, 6, 235
236, 6, 229
217, 4, 212
222, 5, 216
200, 4, 195
212, 4, 207
229, 5, 223
234, 5, 228
216, 4, 211
181, 3, 177
223, 5, 217
216, 4, 211
235, 5, 229
181, 3, 177
164, 2, 161
212, 4, 207
211, 4, 206
223, 4, 218
208, 4, 203
201, 4, 196
190, 4, 185
193, 3, 189
221, 5, 215
187, 3, 183
212, 3, 208
229, 6, 222
180, 2, 177
189, 3, 185
222, 4, 217
213, 4, 208
210, 5, 204
194, 4, 189
175, 2, 172
204, 3, 200
213, 4, 208
231, 6, 224
218, 5, 212
197, 3, 193
244, 6, 237
207, 4, 202
231, 5, 225
232, 5, 226
229, 5, 223
193, 3, 189
226, 4, 221
229, 6, 222
215, 4, 210
220, 5, 214
215, 5, 209
173, 2, 170
224, 5, 218
199, 4, 194
240, 7, 232
205, 3, 201
188, 3, 184
227, 5, 221
220, 5, 214
210, 5, 204
204, 3, 200
208, 3, 204
231, 5, 225
215, 4, 210
190, 3, 186
222, 4, 217
204, 3, 200
229, 5, 223
242, 6, 235
